iter	MultiClass
0	0.9456491457
1	0.8302424864
2	0.73644456
3	0.6617960657
4	0.6000043042
5	0.5455358634
6	0.4990040443
7	0.4593363305
8	0.4235025342
9	0.3928803
10	0.3661109627
11	0.3424102873
12	0.322159546
13	0.3036024937
14	0.2872526802
15	0.2724804269
16	0.2587630499
17	0.2453842886
18	0.234457567
19	0.2248642954
20	0.2160024322
21	0.208185819
22	0.2011620256
23	0.1948606868
24	0.1875521593
25	0.1823061173
26	0.1769926636
27	0.1715975696
28	0.167794708
29	0.1640171542
30	0.1593040762
31	0.1557460774
32	0.1531278754
33	0.1496279078
34	0.1464520908
35	0.1429463668
36	0.1410723218
37	0.1392266245
38	0.1366964469
39	0.1343847325
40	0.1328458283
41	0.1313745385
42	0.1301996428
43	0.1285172724
44	0.1263341124
45	0.1243790911
46	0.1233598354
47	0.1225019902
48	0.1217432811
49	0.1201729188
50	0.1189650703
51	0.1177296987
52	0.1170778611
53	0.1165068714
54	0.1154155393
55	0.1145459865
56	0.1139994977
57	0.1130019471
58	0.1127184147
59	0.1119547404
60	0.1112862563
61	0.1109092326
62	0.1096238757
63	0.1084990082
64	0.1078729435
65	0.1070510427
66	0.1067769203
67	0.1058193343
68	0.1051714036
69	0.1045651447
70	0.1040612807
71	0.1036074893
72	0.1031185397
73	0.1026030089
74	0.1021236368
75	0.1018740829
76	0.1015039889
77	0.1011131179
78	0.100893621
79	0.100626978
80	0.1001936028
81	0.09969659662
82	0.09912176251
83	0.09855843004
84	0.09836458039
85	0.09812807232
86	0.09783791409
87	0.09725330652
88	0.09667632407
89	0.09650416502
90	0.09634102023
91	0.09605565992
92	0.09594485323
93	0.0956802957
94	0.09531062496
95	0.09490539865
96	0.09467589039
97	0.09429434857
98	0.09386268846
99	0.09341131678
100	0.09285138917
101	0.09237107995
102	0.09197407471
103	0.09180420651
104	0.09156153271
105	0.09140092042
106	0.09122470796
107	0.09086512482
108	0.09057699752
109	0.09051281717
110	0.0904221464
111	0.09017564457
112	0.09011033656
113	0.08999971116
114	0.08963674338
115	0.08921717768
116	0.08909149737
117	0.08901123093
118	0.08879754084
119	0.08858648556
120	0.08824313629
121	0.08794924852
122	0.0878136624
123	0.08728890107
124	0.08701646112
125	0.08695978942
126	0.08688441659
127	0.08682769842
128	0.08662612158
129	0.08649672208
130	0.0860553194
131	0.08589716396
132	0.085613719
133	0.08536941913
134	0.08522802692
135	0.08495685744
136	0.0846530123
137	0.08455550884
138	0.08443154785
139	0.08428400263
140	0.08402122237
141	0.08392564446
142	0.08383921241
143	0.08358150074
144	0.08324893728
145	0.08292592588
146	0.08284356935
147	0.0826968263
148	0.0825850545
149	0.08245621863
150	0.0822532401
151	0.08210188481
152	0.08204068932
153	0.08187416489
154	0.08177914551
155	0.08157159816
156	0.08126857521
157	0.08119650923
158	0.08099896375
159	0.08083118755
160	0.08075796991
161	0.08054552244
162	0.08040644486
163	0.0801606894
164	0.07986456766
165	0.0796452425
166	0.07949187239
167	0.07935913038
168	0.07897799674
169	0.07875709637
170	0.07860990566
171	0.07838875364
172	0.07831505803
173	0.07823501383
174	0.07813178173
175	0.07808310877
176	0.07795518238
177	0.07789951217
178	0.07765861529
179	0.07754249411
180	0.07752648529
181	0.0771852141
182	0.07708743225
183	0.07703619709
184	0.0769445129
185	0.07678645442
186	0.07668996654
187	0.07665123168
188	0.07648123454
189	0.07638643939
190	0.07621626841
191	0.0759772322
192	0.07584140631
193	0.07577002633
194	0.07556528542
195	0.07541266517
196	0.07523752324
197	0.07520399922
198	0.07516410418
199	0.07507367128
200	0.07493284223
201	0.07474467622
202	0.07469176116
203	0.07461052434
204	0.07441025234
205	0.0742533862
206	0.07419708196
207	0.07408203078
208	0.07401275586
209	0.07386477755
210	0.07372566716
211	0.07366234636
212	0.07355576403
213	0.07338757265
214	0.07313888391
215	0.07306850207
216	0.07300876553
217	0.07285721271
218	0.07278871072
219	0.07273268772
220	0.07267781846
221	0.07261925851
222	0.07255236823
223	0.07244746157
224	0.07241039999
225	0.07237185517
226	0.07225461786
227	0.07222208665
228	0.07213951178
229	0.07209664073
230	0.07206852367
231	0.07202280914
232	0.07191856299
233	0.07178538999
234	0.07173510209
235	0.07167780464
236	0.07164880567
237	0.0715223767
238	0.07145819139
239	0.07141619743
240	0.07133537908
241	0.0712682542
242	0.07123472798
243	0.07117734818
