N accuracy std
2 0.7804541440268236 0.002304776337915984
5 0.9599039022856887 0.0012790494820316947
7 0.9648884098971666 0.001159880373657828
11 0.974126962743425 0.0010288537824866962
15 0.9762030924903079 0.0009642264804704406
29 0.9837277530797671 0.0007047425784136404
42 0.9852904635741765 0.0006830636120155305
62 0.985268010837188 0.0006804261925822454
94 0.9853668028799378 0.0007397585305061574
298 0.9848578741748619 0.0007694794611404717
324 0.9848608678731272 0.0008301833505994675
325 0.9848384151361385 0.0007811903469972971
